Scenario,Region,Sector,Sub-Sector,Species,Units,Year,ems,Source,GWP20,GWP100
BAU,CENT_EURO,off-road,TRA_OT_OTHER,bc,kt,2050,0.00535139,TTW,0.017124448,0.0048162510000000006
BAU,CHIN_PLUS,off-road,TRA_OT_CNS,bc,kt,2050,16.02,TTW,51.264,14.418000000000001
BAU,CHIN_PLUS,off-road,TRA_OT_AGR,bc,kt,2050,8.53,TTW,27.295999999999996,7.677
BAU,CHIN_PLUS,off-road,TRA_OT_RAI,bc,kt,2050,2.4,TTW,7.68,2.16
BAU,CHIN_PLUS,off-road,TRA_OT_OTHER,bc,kt,2050,0.47092232,TTW,1.5069514240000002,0.423830088
BAU,INDI_WHOL,off-road,TRA_OT_CNS,bc,kt,2050,19.86,TTW,63.552,17.874
BAU,INDI_WHOL,off-road,TRA_OT_AGR,bc,kt,2050,0.43,TTW,1.3760000000000001,0.387
BAU,INDI_WHOL,off-road,TRA_OT_RAI,bc,kt,2050,7.26,TTW,23.232,6.534
BAU,INDI_WHOL,off-road,TRA_OT_OTHER,bc,kt,2050,0.03210834,TTW,0.10274668799999999,0.028897506
BAU,INDO_PLUS,off-road,TRA_OT_CNS,bc,kt,2050,5.72,TTW,18.304000000000002,5.148
BAU,INDO_PLUS,off-road,TRA_OT_AGR,bc,kt,2050,4.2,TTW,13.44,3.7800000000000002
BAU,INDO_PLUS,off-road,TRA_OT_RAI,bc,kt,2050,0.0,TTW,0.0,0.0
BAU,INDO_PLUS,off-road,TRA_OT_OTHER,bc,kt,2050,0.02140556,TTW,0.068497792,0.019265004000000002
BAU,JAPA_WHOL,off-road,TRA_OT_CNS,bc,kt,2050,0.13,TTW,0.41600000000000004,0.117
BAU,JAPA_WHOL,off-road,TRA_OT_AGR,bc,kt,2050,0.14,TTW,0.44800000000000006,0.12600000000000003
BAU,JAPA_WHOL,off-road,TRA_OT_RAI,bc,kt,2050,0.0,TTW,0.0,0.0
BAU,JAPA_WHOL,off-road,TRA_OT_OTHER,bc,kt,2050,0.01070278,TTW,0.034248896,0.009632502000000001
BAU,KORE_AALL,off-road,TRA_OT_CNS,bc,kt,2050,0.18,TTW,0.5760000000000001,0.162
BAU,KORE_AALL,off-road,TRA_OT_AGR,bc,kt,2050,0.03,TTW,0.096,0.027
BAU,KORE_AALL,off-road,TRA_OT_RAI,bc,kt,2050,0.0,TTW,0.0,0.0
BAU,KORE_AALL,off-road,TRA_OT_OTHER,bc,kt,2050,0.00535139,TTW,0.017124448,0.0048162510000000006
BAU,LAME_REST,off-road,TRA_OT_CNS,bc,kt,2050,13.15,TTW,42.08,11.835
BAU,LAME_REST,off-road,TRA_OT_AGR,bc,kt,2050,4.79,TTW,15.328000000000001,4.311
BAU,LAME_REST,off-road,TRA_OT_RAI,bc,kt,2050,0.03,TTW,0.096,0.027
BAU,LAME_REST,off-road,TRA_OT_OTHER,bc,kt,2050,0.01605417,TTW,0.051373343999999994,0.014448753
BAU,MEXI_WHOL,off-road,TRA_OT_CNS,bc,kt,2050,3.17,TTW,10.144,2.853
BAU,MEXI_WHOL,off-road,TRA_OT_AGR,bc,kt,2050,4.79,TTW,15.328000000000001,4.311
BAU,MEXI_WHOL,off-road,TRA_OT_RAI,bc,kt,2050,-0.27,TTW,-0.864,-0.24300000000000002
BAU,MEXI_WHOL,off-road,TRA_OT_OTHER,bc,kt,2050,0.00535139,TTW,0.017124448,0.0048162510000000006
BAU,MIDD_EAST,off-road,TRA_OT_CNS,bc,kt,2050,4.23,TTW,13.536000000000001,3.8070000000000004
BAU,MIDD_EAST,off-road,TRA_OT_AGR,bc,kt,2050,7.55,TTW,24.16,6.795
BAU,MIDD_EAST,off-road,TRA_OT_RAI,bc,kt,2050,0.0,TTW,0.0,0.0
BAU,MIDD_EAST,off-road,TRA_OT_OTHER,bc,kt,2050,0.11237919,TTW,0.359613408,0.101141271
BAU,OCEA_WHOL,off-road,TRA_OT_CNS,bc,kt,2050,2.23,TTW,7.136,2.007
BAU,OCEA_WHOL,off-road,TRA_OT_AGR,bc,kt,2050,1.66,TTW,5.312,1.494
BAU,OCEA_WHOL,off-road,TRA_OT_RAI,bc,kt,2050,1.77,TTW,5.664,1.593
BAU,OCEA_WHOL,off-road,TRA_OT_OTHER,bc,kt,2050,0.05886529,TTW,0.18836892800000002,0.052978761
BAU,RUSS_PLUS,off-road,TRA_OT_CNS,bc,kt,2050,3.24,TTW,10.368,2.916
BAU,RUSS_PLUS,off-road,TRA_OT_AGR,bc,kt,2050,0.4,TTW,1.28,0.36
BAU,RUSS_PLUS,off-road,TRA_OT_RAI,bc,kt,2050,2.59,TTW,8.288,2.331
BAU,RUSS_PLUS,off-road,TRA_OT_OTHER,bc,kt,2050,0.72243765,TTW,2.3118004800000005,0.6501938850000001
BAU,SAFR_WHOL,off-road,TRA_OT_CNS,bc,kt,2050,1.57,TTW,5.024,1.413
BAU,SAFR_WHOL,off-road,TRA_OT_AGR,bc,kt,2050,1.01,TTW,3.232,0.909
BAU,SAFR_WHOL,off-road,TRA_OT_RAI,bc,kt,2050,0.3,TTW,0.96,0.27
BAU,SAFR_WHOL,off-road,TRA_OT_OTHER,bc,kt,2050,0.01070278,TTW,0.034248896,0.009632502000000001
BAU,SOEA_ASIA,off-road,TRA_OT_CNS,bc,kt,2050,10.88,TTW,34.816,9.792
BAU,SOEA_ASIA,off-road,TRA_OT_AGR,bc,kt,2050,17.71,TTW,56.672000000000004,15.939
BAU,SOEA_ASIA,off-road,TRA_OT_RAI,bc,kt,2050,2.11,TTW,6.752,1.899
BAU,SOEA_ASIA,off-road,TRA_OT_OTHER,bc,kt,2050,0.37994869,TTW,1.2158358079999998,0.341953821
BAU,SOUA_REST,off-road,TRA_OT_CNS,bc,kt,2050,1.62,TTW,5.184,1.458
BAU,SOUA_REST,off-road,TRA_OT_AGR,bc,kt,2050,1.44,TTW,4.6080000000000005,1.296
BAU,SOUA_REST,off-road,TRA_OT_RAI,bc,kt,2050,1.36,TTW,4.352,1.224
BAU,SOUA_REST,off-road,TRA_OT_OTHER,bc,kt,2050,0.09632502,TTW,0.30824006400000004,0.086692518
BAU,TURK_WHOL,off-road,TRA_OT_CNS,bc,kt,2050,0.04,TTW,0.128,0.036000000000000004
BAU,TURK_WHOL,off-road,TRA_OT_AGR,bc,kt,2050,0.42,TTW,1.344,0.378
BAU,TURK_WHOL,off-road,TRA_OT_RAI,bc,kt,2050,0.0,TTW,0.0,0.0
BAU,TURK_WHOL,off-road,TRA_OT_OTHER,bc,kt,2050,0.00535139,TTW,0.017124448,0.0048162510000000006
BAU,UKRA_PLUS,off-road,TRA_OT_CNS,bc,kt,2050,0.24,TTW,0.768,0.216
BAU,UKRA_PLUS,off-road,TRA_OT_AGR,bc,kt,2050,1.79,TTW,5.728,1.611
BAU,UKRA_PLUS,off-road,TRA_OT_RAI,bc,kt,2050,0.01,TTW,0.032,0.009000000000000001
BAU,UKRA_PLUS,off-road,TRA_OT_OTHER,bc,kt,2050,0.0,TTW,0.0,0.0
BAU,USAM_WHOL,off-road,TRA_OT_CNS,bc,kt,2050,0.7,TTW,2.24,0.63
BAU,USAM_WHOL,off-road,TRA_OT_AGR,bc,kt,2050,1.12,TTW,3.5840000000000005,1.0080000000000002
BAU,USAM_WHOL,off-road,TRA_OT_RAI,bc,kt,2050,0.01,TTW,0.032,0.009000000000000001
BAU,USAM_WHOL,off-road,TRA_OT_OTHER,bc,kt,2050,0.13378475,TTW,0.4281112000000001,0.12040627500000001
BAU,WEST_EURO,off-road,TRA_OT_CNS,bc,kt,2050,0.16,TTW,0.512,0.14400000000000002
BAU,WEST_EURO,off-road,TRA_OT_AGR,bc,kt,2050,0.14,TTW,0.44800000000000006,0.12600000000000003
BAU,WEST_EURO,off-road,TRA_OT_RAI,bc,kt,2050,0.02,TTW,0.064,0.018000000000000002
BAU,WEST_EURO,off-road,TRA_OT_OTHER,bc,kt,2050,0.09097363000000001,TTW,0.2911156160000001,0.08187626700000002
BAU,AFRI_EAST,off-road,TRA_OT_CNS,ch4,kt,2050,0.33,TTW,0.027225000000000003,0.009834000000000002
BAU,AFRI_EAST,off-road,TRA_OT_AGR,ch4,kt,2050,0.01,TTW,0.0008250000000000001,0.000298
BAU,AFRI_EAST,off-road,TRA_OT_RAI,ch4,kt,2050,0.04,TTW,0.0033000000000000004,0.001192
