Scenario,Sector,Sub-Sector,Species,Units,Year,ems
BAU,off-road,TRA_OT_CNS,bc,kt,2004,86.926
BAU,off-road,TRA_OT_AGR,bc,kt,2004,146.904
BAU,off-road,TRA_OT_RAI,bc,kt,2004,54.994
BAU,off-road,TRA_OT_OTHER,bc,kt,2004,4.260779580125711
BAU,off-road,TRA_OT_CNS,ch4,kt,2004,6.5040000000000004
BAU,off-road,TRA_OT_AGR,ch4,kt,2004,12.58
BAU,off-road,TRA_OT_RAI,ch4,kt,2004,5.39
BAU,off-road,TRA_OT_OTHER,ch4,kt,2004,7.8100000000000005
BAU,off-road,TRA_OT_CNS,co2,Mt,2005,116.0
BAU,off-road,TRA_OT_AGR,co2,Mt,2005,227.26
BAU,off-road,TRA_OT_RAI,co2,Mt,2005,98.26
BAU,off-road,TRA_OT_OTHER,co2,Mt,2005,54.20835179538463
BAU,off-road,TRA_OT_CNS,bc,kt,2005,86.46
BAU,off-road,TRA_OT_AGR,bc,kt,2005,148.52
BAU,off-road,TRA_OT_RAI,bc,kt,2005,56.54
BAU,off-road,TRA_OT_OTHER,bc,kt,2005,4.532630374738103
BAU,off-road,TRA_OT_CNS,ch4,kt,2005,6.57
BAU,off-road,TRA_OT_AGR,ch4,kt,2005,12.88
BAU,off-road,TRA_OT_RAI,ch4,kt,2005,5.58
BAU,off-road,TRA_OT_OTHER,ch4,kt,2005,7.87
BAU,off-road,TRA_OT_CNS,co2,Mt,2006,116.684
BAU,off-road,TRA_OT_AGR,co2,Mt,2006,227.22
BAU,off-road,TRA_OT_RAI,co2,Mt,2006,95.196
BAU,off-road,TRA_OT_OTHER,co2,Mt,2006,54.36578902931247
BAU,off-road,TRA_OT_CNS,bc,kt,2006,86.092
BAU,off-road,TRA_OT_AGR,bc,kt,2006,146.966
BAU,off-road,TRA_OT_RAI,bc,kt,2006,54.47
BAU,off-road,TRA_OT_OTHER,bc,kt,2006,4.576511802214907
BAU,off-road,TRA_OT_CNS,ch4,kt,2006,6.628
BAU,off-road,TRA_OT_AGR,ch4,kt,2006,12.930000000000001
BAU,off-road,TRA_OT_RAI,ch4,kt,2006,5.416
BAU,off-road,TRA_OT_OTHER,ch4,kt,2006,8.028
BAU,off-road,TRA_OT_CNS,co2,Mt,2007,117.368
BAU,off-road,TRA_OT_AGR,co2,Mt,2007,227.18
BAU,off-road,TRA_OT_RAI,co2,Mt,2007,92.132
BAU,off-road,TRA_OT_OTHER,co2,Mt,2007,54.52322626324031
BAU,off-road,TRA_OT_CNS,bc,kt,2007,85.724
BAU,off-road,TRA_OT_AGR,bc,kt,2007,145.412
BAU,off-road,TRA_OT_RAI,bc,kt,2007,52.4
BAU,off-road,TRA_OT_OTHER,bc,kt,2007,4.62039322969171
BAU,off-road,TRA_OT_CNS,ch4,kt,2007,6.686
BAU,off-road,TRA_OT_AGR,ch4,kt,2007,12.98
BAU,off-road,TRA_OT_RAI,ch4,kt,2007,5.252
BAU,off-road,TRA_OT_OTHER,ch4,kt,2007,8.186
BAU,off-road,TRA_OT_CNS,co2,Mt,2008,118.052
BAU,off-road,TRA_OT_AGR,co2,Mt,2008,227.14
BAU,off-road,TRA_OT_RAI,co2,Mt,2008,89.068
BAU,off-road,TRA_OT_OTHER,co2,Mt,2008,54.68066349716815
BAU,off-road,TRA_OT_CNS,bc,kt,2008,85.356
