Scenario,CY,RTK,MJ,Fuel (kg),CO2,CH4,N2O,nvPM_mass,nvPM_num,SO2,H2O,OC,Sulphates,NOx,CO,HC,ConERF,Stock,CO2e,EnRoute,Payload,TechEff,AvoidancePenalty,Formation,ConERFLowerBound,ConERFUpperBound,FuelEff,NOxERF,H2OERF,nvPM_massERF,SO2ERF
Current Commitments,1982,,,128488372093.02325,477.80546918604665,0.5544273255813954,0.0011088546511627694,0.011468265700884902,1.1687102904843776e+17,0.1541860465116279,158.1645816724311,0.0025697674418604204,0.0031379857485746795,1.973948429166562,0.48672754441522476,0.05862355930910075,0.00895569346218058,,,,,,,,0.0015138260603812677,0.02502822132783548,,0.007359394687001422,0.0008224558246966416,0.0011545103081080832,-0.0030698441860465115
Current Commitments,1983,,,130232558139.53488,484.2915162790699,0.5619534883720931,0.0011239069767441645,0.011623943515829042,1.1845751360565638e+17,0.15627906976744188,160.31161219287134,0.002604651162790652,0.0031805828401842906,2.000744109200497,0.4933347056516305,0.05941935423184873,0.00921965471693784,,,,,,,,0.001558444763340445,0.025765906324975756,,0.007459295972345331,0.0008336203834029309,0.0011701823937385095,-0.0031115162790697677
Current Commitments,1984,,,138953488372.09305,516.7217517441862,0.5995843023255816,0.00119916860465114,0.012402332590549738,1.2638993639174947e+17,0.16674418604651167,171.0467647950726,0.0027790697674418127,0.0033935682982323464,2.1347225093701736,0.5263705118336595,0.06339832884558862,0.009993810497759574,,,,,,,,0.0016893042217120137,0.027929417426204535,,0.007958802399064886,0.0008894431769343775,0.001248542821890642,-0.0033198767441860472
Current Commitments,1985,,,143488372093.02325,533.5854741860467,0.6191523255813954,0.001238304651162767,0.012807094909404498,1.3051479624051782e+17,0.17218604651162792,176.62904414821716,0.002869767441860415,0.0035043207364173342,2.204391277458405,0.5435491310483144,0.06546739564473333,0.010487096111282313,,,,,,,,0.001772686778307476,0.029307988674229155,,0.008218545740959054,0.0009184710295707292,0.0012892902445297506,-0.0034282241860465116
Current Commitments,1986,,,151046511627.90698,561.6916782558142,0.6517656976744187,0.0013035313953488122,0.013481698774162432,1.3738956265513182e+17,0.1812558139534884,185.9328430701249,0.0030209302325580867,0.0036889081333923157,2.320505890938791,0.5721801630727393,0.06891584030997455,0.011221219002880999,,,,,,,,0.001896779275389656,0.03135962100067646,,0.008651451310782666,0.0009668507839646494,0.001357202615594932,-0.003608803255813954
Current Commitments,1987,,,157674418604.65115,586.3386572093025,0.6803651162790698,0.0013607302325581133,0.014073274470950161,1.4341820397256253e+17,0.18920930232558142,194.0915590477978,0.0031534883720929683,0.003850777081508837,2.4223294750677447,0.5972873757710813,0.07193986101641685,0.011909652035506813,,,,,,,,0.002013148585038014,0.03328356518017683,,0.009031076195089525,0.0010092761070485486,0.0014167565409905526,-0.003767157209302326
Current Commitments,1988,,,164418604651.1628,611.4180393023258,0.7094662790697677,0.0014189325581395078,0.014675228688734167,1.495526109271412e+17,0.19730232558139538,202.39341039350012,0.003288372093023199,0.004015485835732667,2.525939437865628,0.6228350658851837,0.07501693471770902,0.012630453925737277,,,,,,,,0.0021349893660351418,0.03529796968367998,,0.009417361165085982,0.0010524457340462005,0.0014773552720948686,-0.003928289302325582
Current Commitments,1989,,,170348837209.30234,633.4705994186048,0.7350552325581398,0.001470110465116251,0.015204533259544238,1.5494665842168445e+17,0.20441860465116282,209.6933141629969,0.0034069767441859875,0.004160315947205345,2.6170447499810074,0.6452994140889633,0.07772263745505215,0.013312609359744371,,,,,,,,0.0022502975415093834,0.037204370037199695,,0.009757025535255277,0.0010904052336475837,0.0015306403632383185,-0.0040699744186046515
Current Commitments,1990,,,173929000000.0,646.7840326430002,0.7505036350000001,0.0015010072699999713,0.015524081693906976,1.5820311893008624e+17,0.20871480000000003,214.10036626339976,0.0034785799999999395,0.004247751873365675,2.6720462773701303,0.6588614494337759,0.07935610733468257,0.012060272305023037,,,,,,,,0.002038608689292162,0.033704499355495555,,0.009962085577586464,0.0011133219045696787,0.0015628093041256152,-0.0041555116680000006
Current Commitments,1991,,,168203000000.0,625.4909454010002,0.7257959450000001,0.0014515918899999723,0.015013005957374762,1.5299483820062954e+17,0.2018436,207.05186545430968,0.0033640599999999413,0.004107909597339872,2.5840785607488574,0.6371707557630378,0.07674358687749376,0.011968798525797688,,,,,,,,0.0020231464147717495,0.03344886019122383,,0.00963411898192237,0.0010766697003624101,0.0015113593097289173,-0.004018706076
Current Commitments,1992,,,168593000000.0,626.9412255310002,0.7274787950000001,0.001454957589999972,0.015047815516796272,1.533495761476236e+17,0.20231160000000004,207.53194147868012,0.0033718599999999414,0.004117434307023781,2.5900700748044456,0.6386481170154982,0.07692152662222021,0.013167188954548145,,,,,,,,0.002225716396562105,0.03679796777452684,,0.00965645690932527,0.0010791660956891366,0.0015148635880758807,-0.004028023956000001
Current Commitments,1993,,,169513000000.0,630.3623991710002,0.7314485950000001,0.0014628971899999718,0.015129930374918808,1.5418639386873786e+17,0.20341560000000003,208.66442851052832,0.003390259999999941,0.004139902852944797,2.604203902833012,0.6421331743289944,0.07734128191747233,0.01436557938329861,,,,,,,,0.0024282863783524618,0.04014707535782987,,0.009709151507301337,0.0010850550282547474,0.0015231300908430765,-0.0040500045960000005
Current Commitments,1994,,,177599000000.0,660.4315405330002,0.7663396850000002,0.0015326793699999704,0.015851648573591438,1.615412939697485e+17,0.21311880000000002,218.61800474914207,0.003551979999999938,0.004337381833724511,2.728427960918868,0.6727637976300052,0.081030565958134,0.015314724743884586,,,,,,,,0.0025887252084679326,0.04279962485132826,,0.010172291202121432,0.0011368136246955388,0.0015957854619034501,-0.0042431953080000005
Current Commitments,1995,,,181923000000.0,676.5110566410001,0.7849977450000002,0.0015699954899999699,0.016237588406767353,1.6547433725898547e+17,0.21830760000000002,223.94069379882868,0.0036384599999999367,0.0044429839995532875,2.79485695265313,0.6891435670034372,0.08300341584581901,0.016339398913005256,,,,,,,,0.0027619310542424604,0.045663252553858356,,0.010419955812608952,0.0011644916077539092,0.0016346380249092696,-0.004346504316000001
Current Commitments,1996,,,190157000000.0,707.1305607190002,0.8205274550000002,0.0016410549099999685,0.01697251638696404,1.7296385586295795e+17,0.2281884,234.07645273387018,0.0038031399999999336,0.004644077485546382,2.921354713508799,0.7203348299592278,0.08676022573832559,0.017288544273591232,,,,,,,,0.0029223698843579313,0.04831580204735676,,0.010891572464494763,0.0012171975542161248,0.00170862322467567,-0.004543231044000001
Current Commitments,1997,,,195947000000.0,728.6616426490002,0.8455113050000002,0.0016910226099999676,0.017489304461452606,1.7823034999910083e+17,0.23513640000000002,241.20373524952362,0.003918939999999932,0.004785482790853647,3.0103056529494507,0.7422679623996004,0.08940194656387976,0.018152090317837884,,,,,,,,0.0030683394300598053,0.05072912957061922,,0.011223204771322407,0.0012542594232975229,0.001760648280134434,-0.004681565724
Current Commitments,1998,,,199811000000.0,743.0305719370002,0.8621844650000001,0.001724368929999967,0.017834186865567255,1.8174498442778067e+17,0.23977320000000005,245.9601807832861,0.00399621999999993,0.004879850683721914,3.0696677306694293,0.7569052031162843,0.09116491880393872,0.018830171176682686,,,,,,,,0.0031829588595322198,0.052624142825037176,,0.011444522082821894,0.0012789929400730878,0.0017953675917566556,-0.004773884412000001
Current Commitments,1999,,,206256000000.0,766.9973807520003,0.8899946400000002,0.001779989279999966,0.01840943714882784,1.8760725639797773e+17,0.2475072,253.89374482704883,0.004125119999999928,0.005037252616831642,3.1686813411521575,0.7813195448396352,0.09410548714948218,0.019924499691452015,,,,,,,,0.0033679387308589875,0.055682431542563186,,0.011813670652339021,0.001320247473100654,0.0018532780377724988,-0.004927868352
Current Commitments,2000,,,216938000000.0,806.7201816460002,0.9360874700000003,0.001872174939999964,0.019362862055854926,1.973234378076977e+17,0.26032560000000005,267.04290403813866,0.004338759999999924,0.005298131972840658,3.3327873748490555,0.821784090733946,0.09897921113196399,0.021803955192291044,,,,,,,,0.0036856325787460375,0.060934892276001865,,0.012425500756230716,0.0013886231009983209,0.0019492593231629153,-0.005183082696000001
