Scenario,CY,RTK,MJ,Fuel (kg),CO2,H2O,OC,SO2,Sulphates,NOx,CO,HC,CH4,N2O,nvPM_mass,nvPM_num,ConEF,Stock,EnRoute,Payload,TechEff,AvoidancePenalty,CO2e,FuelEff
Continuation,2023,1.07688E+12,1.16658E+13,2.70355E+11,1005.358454,332.804441,0.005407091,0.324425431,0.006602149,4.130005796,1.087421016,0.121670021,1.16657978,0.00233316,0.023641291,2.46E+17,6.78563E+11,31609.24974,1,1,1,1,0,10.83296049
Continuation,2024,1.19828E+12,1.24559E+13,2.88665E+11,1070.718456,355.0391012,0.005768365,0.3450636,0.007043387,4.432887453,1.16035492,0.130000817,1.242897657,0.002483703,0.027971569,2.62E+17,7.42346E+11,32587.61117,0.99500999,0.99003992,0.972346739,1,1105.203323,10.39477283
Continuation,2025,1.29117E+12,1.32101E+13,3.06145E+11,1134.230169,376.5370675,0.006117664,0.365469201,0.007469975,4.730205573,1.231322102,0.13800764,1.316808838,0.002631751,0.029658886,2.78E+17,7.97553E+11,33593.31544,0.99401498,0.98805984,0.959299688,1,1170.765837,10.23115657
Continuation,2026,1.33164E+12,1.34452E+13,3.11591E+11,1151.571696,383.2358159,0.006226501,0.370915394,0.007602874,4.844921954,1.252926561,0.140469749,1.337416362,0.002672151,0.030114183,2.82E+17,8.1669E+11,34658.46747,0.993020965,0.986083721,0.949640343,1,1188.678919,10.09668245
Continuation,2027,1.37343E+12,1.37043E+13,3.17598E+11,1170.897412,390.6236012,0.006346531,0.377003325,0.007749436,4.969642224,1.276851082,0.143179668,1.360361288,0.002717203,0.030620794,2.87E+17,8.36311E+11,35760.98158,0.992027944,0.984111553,0.941425491,1,1208.641035,9.978196048
Continuation,2028,1.41657E+12,1.39773E+13,3.23923E+11,1191.185035,398.4034262,0.006472931,0.383396982,0.007903777,5.100675114,1.302226201,0.146043177,1.384481145,0.002764488,0.031154299,2.92E+17,8.56371E+11,36902.23727,0.991035916,0.98214333,0.933777929,1,1229.597628,9.866955773
Continuation,2029,1.46112E+12,1.42596E+13,3.30465E+11,1212.02333,406.4500416,0.006603667,0.389970264,0.008063413,5.236517761,1.328636473,0.149014258,1.409279105,0.002813763,0.031704501,2.97E+17,8.76876E+11,38083.63039,0.99004488,0.980179043,0.926364657,1,1251.123879,9.759326504
Continuation,2030,1.50712E+12,1.45503E+13,3.37203E+11,1233.472486,414.7370026,0.006738306,0.396743081,0.008227814,5.376964255,1.355906432,0.15207316,1.434826399,0.002864528,0.032270893,3.02E+17,8.97898E+11,39306.59268,0.989054835,0.978218685,0.919147166,1,1273.28178,9.654380182
Continuation,2031,1.55461E+12,1.48486E+13,3.44116E+11,1253.40295,423.2399151,0.006876453,0.403022674,0.008396494,5.521813352,1.383835419,0.155207482,1.458475999,0.002923458,0.032802362,3.08E+17,9.18601E+11,40572.67478,0.98806578,0.976262248,0.912072292,1,1293.871601,9.551339425
Continuation,2032,1.60371E+12,1.51546E+13,3.51205E+11,1273.831333,431.9586628,0.007018106,0.409459013,0.008569452,5.671134018,1.412426392,0.158418622,1.482717338,0.002983889,0.033346761,3.13E+17,9.3986E+11,41886.74454,0.987077715,0.974309723,0.905085249,1,1314.975847,9.449679243
Continuation,2033,1.65448E+12,1.54681E+13,3.5847E+11,1294.758286,440.894267,0.007163282,0.416052253,0.008746709,5.825016361,1.441674012,0.161707637,1.507551382,0.003045827,0.033904265,3.18E+17,9.61694E+11,43250.98617,0.986090637,0.972361104,0.8981723,1,1336.595194,9.349254561
Continuation,2034,1.70697E+12,1.57898E+13,3.65923E+11,1316.222661,450.0607493,0.007312209,0.422814827,0.008928543,5.983722847,1.471619711,0.165080247,1.533023576,0.00310937,0.034476015,3.24E+17,9.84122E+11,44667.70635,0.985104546,0.970416382,0.8913462,1,1358.76976,9.250197757
Continuation,2035,1.76126E+12,1.6118E+13,3.7352E+11,1338.072963,459.4347031,0.007463934,0.429691034,0.009113796,6.140673089,1.5017529,0.168507055,1.55898796,0.003174282,0.035057913,3.29E+17,1.00716E+12,46139.3349,0.984119442,0.968475549,0.884567136,1,1381.344015,9.151441789
Continuation,2036,1.81741E+12,1.64516E+13,3.81233E+11,1360.138057,468.9823234,0.007617903,0.436648952,0.009301792,6.292864683,1.531931281,0.171971451,1.585318228,0.003240295,0.035647696,3.35E+17,1.03084E+12,47668.43615,0.983135322,0.966538598,0.877772368,1,1404.143314,9.052255586
Continuation,2037,1.8755E+12,1.67845E+13,3.8892E+11,1381.968616,478.5301614,0.00777129,0.443527828,0.009489082,6.430392232,1.561492203,0.17539783,1.611419595,0.003306174,0.036232895,3.41E+17,1.05518E+12,49258.08198,0.982152187,0.964605521,0.870674718,1,1426.701815,8.949354715
Continuation,2038,1.93561E+12,1.71099E+13,3.96427E+11,1403.192819,487.8860534,0.007920968,0.450219053,0.00967185,6.542706267,1.589751585,0.17870328,1.636815663,0.003371037,0.036804522,3.46E+17,1.08029E+12,50911.22118,0.981170035,0.96267631,0.862984213,1,1448.634498,8.839551211
Continuation,2039,1.99781E+12,1.74297E+13,4.03796E+11,1423.802604,497.1047169,0.008067818,0.456712774,0.009851172,6.631652293,1.616955557,0.181908554,1.661524609,0.003434759,0.037362568,3.52E+17,1.10611E+12,52631.05438,0.980188865,0.960750957,0.854824156,1,1469.933762,8.724407381
