Scenario,CY,RTK,CO2,H2O,OC,SO2,Sulphates,NOx,CO,HC,CH4,N2O,nvPM_mass,nvPM_num,ConEF,Stock,MJ,Fuel (kg),EnRoute,Payload,TechEff,AvoidancePenalty,FuelEff,ConERF
SLCP Forward,2023,1076879935911.4612,1033.305238706694,332.8044410466621,0.0054070905200803,0.3244254312048217,0.0066021488204499,4.130005796386175,1.0874210156949042,0.1216700210396399,1.167576540911422e-09,2.030415604645131e-12,0.0236435183244092,2.4597726223552493e+17,678562873505.9171,31609.24973915726,11675765409115.186,270585525124.33804,1.0,1.0,1.0,1.0,10.842216499495764,27.707540152446864
SLCP Forward,2024,1198283164085.4792,1099.557866713743,355.0391011695253,0.0057683650885265,0.3450635995956608,0.0070433871275403,4.432541197946046,1.160354919553833,0.1300008166031359,1.2434955395652096e-09,3.0190353287262424e-12,0.0252051956578877,2.619577192334477e+17,742345819438.7389,32587.6111656414,12455881276196.104,288664687744.98505,0.9950099899999998,0.99003992,0.9723467385426944,1.0,10.394772829594364,30.31196872417832
SLCP Forward,2025,1291167587890.2134,1165.195138018397,376.5370674768239,0.0061176640740934,0.3629419666930816,0.007469975132184,4.729747394574019,1.2313221018788088,0.1380076403835824,1.317676166890184e-09,3.535196422562254e-12,0.0265823108946225,2.760754738919578e+17,794407480891.1031,33593.315443485815,13210137747023.686,306144559606.5744,0.99401498,0.98805984,0.9592996880653984,1.0,10.231156567838914,32.43778584653507
SLCP Forward,2026,1331640103243.8196,1183.4365706885387,383.2356508351976,0.0062264979513547,0.3658028844489378,0.0076028702654811,4.84443892046306,1.2529259437682885,0.1404696833978855,1.3388575930023994e-09,4.396241654760073e-12,0.0268493520166933,2.7883531981356733e+17,810316524297.2871,34658.43535875378,13445147465234.998,311590903018.1923,0.993020965,0.986083721,0.9496404036009762,1.0,10.096682604018294,33.08739471282389
SLCP Forward,2027,1373427898922.8003,1204.1473888564467,390.6233984478321,0.0063465277499039,0.3666476152125361,0.0077494316514656,4.969172384321112,1.276850365051971,0.1431795878946244,1.362392750017532e-09,5.28416564449825e-12,0.027010724266977,2.80506391579638e+17,823440063294.8026,35760.94207309171,13704333022561.902,317597520800.9711,0.992027944,0.984111553,0.9414255554058386,1.0,9.978196185843036,33.6232639710949
SLCP Forward,2028,1416576103909.0537,1225.8724238317875,398.40375166545056,0.0064729366255266,0.3676564485527122,0.0079037836952649,5.100239116205136,1.302227471779669,0.1460433066699275,1.3871474369210175e-09,6.2353226359733865e-12,0.0271943475272826,2.8240334217850445e+17,836880397193.3436,36902.30338665659,13977293198079.502,323923364961.28625,0.991035916,0.98214333,0.9337777988541816,1.0,9.866955371835685,34.17206881394174
SLCP Forward,2029,1461131384375.0024,1248.1911360732515,406.452081066576,0.0066036996895899,0.3686994668674512,0.0080634538524664,5.236133294548509,1.328644043304284,0.1490150697837855,1.412601815465652e-09,7.213409476601214e-12,0.0273910438749054,2.8443121257297744e+17,850647463957.1622,38084.04419552994,14259655561814.56,330467104561.1717,0.99004488,0.980179043,0.9263639463444296,1.0,9.75932466738035,34.734215035070946
SLCP Forward,2030,1507141750282.2346,1271.175529980853,414.7450588846728,0.0067384369314095,0.369796483527353,0.0082279738027599,5.376679554921575,1.355934922618358,0.1520762686134762,1.43883821161525e-09,8.218475096913594e-12,0.0276000023361518,2.8659160039115616e+17,858601397722.498,39307.73612938239,14550599540191.545,337209722831.78546,0.989054835,0.978218685,0.919145369181183,1.000006014501218,9.654433325509514,35.05899546114155
SLCP Forward,2031,1554170078320.5195,1291.999626714228,423.0475719160025,0.0068733307941215,0.3700808121613752,0.008392692318905,5.51912609785263,1.3828226992908004,0.1551120443409298,1.46238884425671e-09,9.110088534783958e-12,0.0277699541189824,2.8834564573216154e+17,866281770814.7665,40574.730914353946,14841903894496.129,343960178838.104,0.98806578,0.976262248,0.9120699768769656,1.0000127406646615,9.549729531876402,35.372605671998365
SLCP Forward,2032,1602787614143.2473,1313.3767067790916,431.5660031060932,0.0070117320791373,0.3703801426098388,0.0085616908259903,5.66600885381849,1.4103616378967958,0.1582240145831374,1.4865553376678534e-09,1.0024011278846236e-11,0.0279507072266425,2.9021849800579834e+17,868904299652.4156,41890.25477578491,15140806480061.42,350886155802.0183,0.987077715,0.974309723,0.9050824269001666,1.0000276774013417,9.446545722250775,35.47969055080213
SLCP Forward,2033,1653055092618.6748,1335.3229914140773,440.3062823869672,0.0071537372396303,0.3706962639899006,0.0087350875655547,5.817484451776067,1.4385619628176356,0.1614149750364172,1.511355671559028e-09,1.0960715182745e-11,0.0281427259589775,2.922140071595933e+17,861865442035.3157,43256.58118892474,15447517720303.377,357992480502.8286,0.986090637,0.972361104,0.8981689906234407,1.0000613409447865,9.344829334049784,35.192275135565076
SLCP Forward,2034,1705035830964.9883,1357.913473047805,449.2938561861322,0.007299759793827,0.3710466824518075,0.0089133878329246,5.973970890169239,1.4675016239714187,0.1646947065907876,1.5368743277148051e-09,1.1921229765313798e-11,0.0283476449691613,2.9434835450246234e+17,837884185520.5471,44676.11340205526,15762932606154.57,365299846517.9883,0.985104546,0.970416382,0.8913424281889727,1.0001381381067505,9.24492747887493,34.21305618072304
SLCP Forward,2035,1758795844264.523,1381.0693178124134,458.53079394905774,0.0074492657672504,0.3713992662710465,0.0090959436671486,6.126284341128935,1.496755048865273,0.1680430306748173,1.5630505956667983e-09,1.2905386055162655e-11,0.0285035298018707,2.9594514512303546e+17,787865538622.4847,46151.385914904255,16086372213108.072,372785464635.16925,0.984119442,0.968475549,0.8845630904654276,1.0003110709645382,9.146241882232172,32.170660816327896
SLCP Forward,2036,1814404034550.6465,1403.8096200487223,468.02949207415406,0.007602451465936,0.3775802605011543,0.0092829958585878,6.271858630303528,1.5263304735649297,0.1714598736159181,1.5899116995206727e-09,1.3914025806660589e-11,0.0288699917116848,2.9968010745935834e+17,710680619907.4799,47685.07611118838,16418267617197.172,380459195554.4941,0.983135322,0.966538598,0.8777684518071214,1.0006735458589917,9.048848715365263,29.018993788908816
