Scenario,Sector,Species,Units,Year,ems,Source
Striving,Construction,ch4,kt,1996,5.808,TTW
Striving,Construction,co2,Mt,1997,104.63,TTW
Striving,Construction,bc,kt,1997,84.842,TTW
Striving,Construction,ch4,kt,1997,5.916,TTW
Striving,Construction,co2,Mt,1998,106.45,TTW
Striving,Construction,bc,kt,1998,86.158,TTW
Striving,Construction,ch4,kt,1998,6.024,TTW
Striving,Construction,co2,Mt,1999,108.27,TTW
Striving,Construction,bc,kt,1999,87.474,TTW
Striving,Construction,ch4,kt,1999,6.132000000000001,TTW
Striving,Construction,co2,Mt,2000,110.09,TTW
Striving,Construction,bc,kt,2000,88.79,TTW
Striving,Construction,ch4,kt,2000,6.24,TTW
Striving,Construction,co2,Mt,2001,111.272,TTW
Striving,Construction,bc,kt,2001,88.324,TTW
Striving,Construction,ch4,kt,2001,6.306,TTW
Striving,Construction,co2,Mt,2002,112.45400000000001,TTW
Striving,Construction,bc,kt,2002,87.858,TTW
Striving,Construction,ch4,kt,2002,6.372,TTW
Striving,Construction,co2,Mt,2003,113.636,TTW
Striving,Construction,bc,kt,2003,87.392,TTW
Striving,Construction,ch4,kt,2003,6.438000000000001,TTW
Striving,Construction,co2,Mt,2004,114.818,TTW
Striving,Construction,bc,kt,2004,86.926,TTW
Striving,Construction,ch4,kt,2004,6.5040000000000004,TTW
Striving,Construction,co2,Mt,2005,116.0,TTW
Striving,Construction,bc,kt,2005,86.46,TTW
Striving,Construction,ch4,kt,2005,6.57,TTW
Striving,Construction,co2,Mt,2006,116.684,TTW
Striving,Construction,bc,kt,2006,86.092,TTW
Striving,Construction,ch4,kt,2006,6.628,TTW
Striving,Construction,co2,Mt,2007,117.368,TTW
Striving,Construction,bc,kt,2007,85.724,TTW
Striving,Construction,ch4,kt,2007,6.686,TTW
Striving,Construction,co2,Mt,2008,118.052,TTW
Striving,Construction,bc,kt,2008,85.356,TTW
Striving,Construction,ch4,kt,2008,6.744000000000001,TTW
Striving,Construction,co2,Mt,2009,118.736,TTW
Striving,Construction,bc,kt,2009,84.988,TTW
Striving,Construction,ch4,kt,2009,6.8020000000000005,TTW
Striving,Construction,co2,Mt,2010,119.42,TTW
Striving,Construction,bc,kt,2010,84.62,TTW
Striving,Construction,ch4,kt,2010,6.86,TTW
Striving,Construction,co2,Mt,2011,122.676,TTW
Striving,Construction,bc,kt,2011,84.22800000000001,TTW
Striving,Construction,ch4,kt,2011,7.064,TTW
Striving,Construction,co2,Mt,2012,125.932,TTW
Striving,Construction,bc,kt,2012,83.836,TTW
Striving,Construction,ch4,kt,2012,7.268,TTW
Striving,Construction,co2,Mt,2013,129.188,TTW
Striving,Construction,bc,kt,2013,83.444,TTW
Striving,Construction,ch4,kt,2013,7.4719999999999995,TTW
Striving,Construction,co2,Mt,2014,132.444,TTW
Striving,Construction,bc,kt,2014,83.05199999999999,TTW
Striving,Construction,ch4,kt,2014,7.676,TTW
