timebounds,scenario,Vizcon Scenario,Pollutant Group,Actual Pollutant,Attributable Warming,Global Temperature Anomaly
1940.0,ssp119_NOx aviation_Aviation_Current Commitments,Current Commitments,non-CO2,NOx aviation,3.2244859349023214e-05,0.23588031318778266
1940.0,ssp119_NOx aviation_Aviation_Current Commitments lower,Current Commitments lower,non-CO2,NOx aviation,1.0792157006667136e-06,0.2358491475441343
1940.0,ssp119_NOx aviation_Aviation_Current Commitments upper,Current Commitments upper,non-CO2,NOx aviation,5.240776731743613e-05,0.23590047609575107
1940.0,ssp119_NOx aviation_Aviation_Full Breakthrough,Full Breakthrough,non-CO2,NOx aviation,3.2244859349023214e-05,0.23588031318778266
1940.0,ssp119_NOx aviation_Aviation_Full Breakthrough lower,Full Breakthrough lower,non-CO2,NOx aviation,1.0792157006667136e-06,0.2358491475441343
1940.0,ssp119_NOx aviation_Aviation_Full Breakthrough upper,Full Breakthrough upper,non-CO2,NOx aviation,5.240776731743613e-05,0.23590047609575107
1940.0,ssp119_NOx aviation_Aviation_GHG Forward,GHG Forward,non-CO2,NOx aviation,3.2244859349023214e-05,0.23588031318778266
1940.0,ssp119_NOx aviation_Aviation_GHG Forward lower,GHG Forward lower,non-CO2,NOx aviation,1.0792157006667136e-06,0.2358491475441343
1940.0,ssp119_NOx aviation_Aviation_GHG Forward upper,GHG Forward upper,non-CO2,NOx aviation,5.240776731743613e-05,0.23590047609575107
1940.0,ssp119_NOx aviation_Aviation_Historical Trends lower,Historical Trends lower,non-CO2,NOx aviation,1.0792157006667136e-06,0.2358491475441343
1940.0,ssp119_NOx aviation_Aviation_Historical Trends upper,Historical Trends upper,non-CO2,NOx aviation,5.240776731743613e-05,0.23590047609575107
1940.0,ssp119_NOx aviation_Aviation_SLCP Forward,SLCP Forward,non-CO2,NOx aviation,3.2244859349023214e-05,0.23588031318778266
1940.0,ssp119_NOx aviation_Aviation_SLCP Forward lower,SLCP Forward lower,non-CO2,NOx aviation,1.0792157006667136e-06,0.2358491475441343
1940.0,ssp119_NOx aviation_Aviation_SLCP Forward upper,SLCP Forward upper,non-CO2,NOx aviation,5.240776731743613e-05,0.23590047609575107
1940.0,ssp119_NOx aviation_Aviation_zero,zero,non-CO2,NOx aviation,0.0,0.23584806832843364
1940.0,ssp119_SLCP Forward,SLCP Forward,non-CO2,All,5.964895129045855e-05,0.23588031318778266
1940.0,ssp119_SLCP Forward lower,SLCP Forward lower,non-CO2,All,6.557622039798927e-06,0.235827221858532
1940.0,ssp119_SLCP Forward upper,SLCP Forward upper,non-CO2,All,0.00012467427970175304,0.23594533851619395
1940.0,ssp119_Stratospheric water vapour_Aviation_BAU,Historical Trends,non-CO2,Stratospheric water vapour,3.603553487219191e-06,0.23588031318778266
1940.0,ssp119_Stratospheric water vapour_Aviation_Current Commitments,Current Commitments,non-CO2,Stratospheric water vapour,3.603553487219191e-06,0.23588031318778266
1940.0,ssp119_Stratospheric water vapour_Aviation_Current Commitments lower,Current Commitments lower,non-CO2,Stratospheric water vapour,1.4552812159784878e-06,0.23587816491551142
1940.0,ssp119_Stratospheric water vapour_Aviation_Current Commitments upper,Current Commitments upper,non-CO2,Stratospheric water vapour,5.751825758432139e-06,0.23588246146005387
1940.0,ssp119_Stratospheric water vapour_Aviation_Full Breakthrough,Full Breakthrough,non-CO2,Stratospheric water vapour,3.603553487219191e-06,0.23588031318778266
1940.0,ssp119_Stratospheric water vapour_Aviation_Full Breakthrough lower,Full Breakthrough lower,non-CO2,Stratospheric water vapour,1.4552812159784878e-06,0.23587816491551142
1940.0,ssp119_Stratospheric water vapour_Aviation_Full Breakthrough upper,Full Breakthrough upper,non-CO2,Stratospheric water vapour,5.751825758432139e-06,0.23588246146005387
1940.0,ssp119_Stratospheric water vapour_Aviation_GHG Forward,GHG Forward,non-CO2,Stratospheric water vapour,3.603553487219191e-06,0.23588031318778266
1940.0,ssp119_Stratospheric water vapour_Aviation_GHG Forward lower,GHG Forward lower,non-CO2,Stratospheric water vapour,1.4552812159784878e-06,0.23587816491551142
1940.0,ssp119_Stratospheric water vapour_Aviation_GHG Forward upper,GHG Forward upper,non-CO2,Stratospheric water vapour,5.751825758432139e-06,0.23588246146005387
1940.0,ssp119_Stratospheric water vapour_Aviation_Historical Trends lower,Historical Trends lower,non-CO2,Stratospheric water vapour,1.4552812159784878e-06,0.23587816491551142
1940.0,ssp119_Stratospheric water vapour_Aviation_Historical Trends upper,Historical Trends upper,non-CO2,Stratospheric water vapour,5.751825758432139e-06,0.23588246146005387
1940.0,ssp119_Stratospheric water vapour_Aviation_SLCP Forward,SLCP Forward,non-CO2,Stratospheric water vapour,3.603553487219191e-06,0.23588031318778266
1940.0,ssp119_Stratospheric water vapour_Aviation_SLCP Forward lower,SLCP Forward lower,non-CO2,Stratospheric water vapour,1.4552812159784878e-06,0.23587816491551142
1940.0,ssp119_Stratospheric water vapour_Aviation_SLCP Forward upper,SLCP Forward upper,non-CO2,Stratospheric water vapour,5.751825758432139e-06,0.23588246146005387
1940.0,ssp119_Stratospheric water vapour_Aviation_zero,zero,non-CO2,Stratospheric water vapour,0.0,0.23587670963429544
1940.0,ssp119_Sulfur_Aviation_BAU,Historical Trends,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_Current Commitments,Current Commitments,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_Current Commitments lower,Current Commitments lower,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_Current Commitments upper,Current Commitments upper,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_Full Breakthrough,Full Breakthrough,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_Full Breakthrough lower,Full Breakthrough lower,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_Full Breakthrough upper,Full Breakthrough upper,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_GHG Forward,GHG Forward,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_GHG Forward lower,GHG Forward lower,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_GHG Forward upper,GHG Forward upper,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_Historical Trends lower,Historical Trends lower,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_Historical Trends upper,Historical Trends upper,non-CO2,Sulfur,0.0,0.23588031318778266
