Scenario,Sector,Source,Species,Units,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BAU,Aviation,WTT,bc,Tg,0.001846839,0.002043609,0.002493462,0.00292001,0.003286937,0.003803739,0.003887822,0.003973469,0.00406149,0.004150329,0.004241975,0.004334035,0.004427855,0.00452197,0.004618081,0.004714858,0.004814488,0.004915855,0.005023107,0.005133521,0.00524964,0.005371913,0.005498454,0.005633009,0.005771673,0.005916535,0.006065068,0.006219479,0.006378845,0.006543912,0.006714683
BAU,Aviation,TTW,co2,Tg,605.8447786272410,670.3940292275880,817.9656441821020,957.8921546127180,1078.2604990848600,1247.7943814492200,1275.3773101507000,1303.4731430933700,1332.3480320098400,1361.4909775674600,1391.5551903597000,1421.7548225826700,1452.5319438614600,1483.4058187100200,1514.9342922280600,1546.6814543986200,1579.3646681088900,1612.6174276091500,1647.8007764882400,1684.0215567020600,1722.1135557259900,1762.2246511624300,1803.7357296254200,1847.8756807671000,1893.3633670746400,1940.8846727498400,1989.6100502464900,2040.2636730799400,2092.5427876592400,2146.6918516186700,2202.7123153378700
BAU,Aviation,TTW,h2o,Tg,236.0110514209280,261.1566613858100,318.6442113886610,373.1535576988150,420.0438842954010,486.0869884696180,496.8321103783250,507.7770377050420,519.0254517101610,530.3782890460590,542.0900124470850,553.8544894301470,565.8439312953980,577.8710641873530,590.1532005483340,602.5205285964250,615.2525020386190,628.2063460085020,641.9122645117180,656.0223216139990,670.8613250312330,686.4868815129580,702.6578111293980,719.8528364000940,737.5728812876190,756.0851367579290,775.0664467890620,794.7989182156350,815.1646112685200,836.2587561210710,858.0819177787730
BAU,Aviation,TTW,bc,Tg,0.005751691,0.0063645,0.007765497,0.009093913,0.01023665,0.011846149,0.012108012,0.012374745,0.012648874,0.012925547,0.013210967,0.013497672,0.01378986,0.014082967,0.014382288,0.014683685,0.014993968,0.015309659,0.015643678,0.015987546,0.016349179,0.016729981,0.017124073,0.017543124,0.017974969,0.01842612,0.018888703,0.019369592,0.019865913,0.020379986,0.020911826
BAU,Aviation,TTW,sox,Tg,0.230067637,0.254580011,0.310619865,0.363756514,0.409466012,0.473845968,0.484320498,0.494989801,0.505954949,0.51702189,0.52843868,0.539906895,0.551594409,0.563318665,0.575291503,0.587347388,0.599758735,0.612386365,0.62574713,0.639501857,0.653967173,0.669199235,0.684962935,0.701724942,0.718998747,0.737044812,0.75554812,0.774783673,0.794636502,0.815199437,0.836473031
BAU,Aviation,TTW,nox,Tg,2.902686693,3.21195114,3.918987295,4.58939469,5.166096189,5.978356625,6.110510277,6.245121325,6.383464938,6.523092848,6.667134678,6.811825321,6.959282794,7.107203828,7.258261134,7.410366209,7.566956036,7.726274637,7.894842961,8.068381762,8.250885833,8.443063677,8.641949034,8.853429686,9.071367525,9.299048717,9.532498785,9.775187345,10.02566386,10.28509957,10.55350141
Striving,Aviation,WTT,co2,Tg,97.56236213,107.2180029,129.921228,151.0939732,168.9011546,186.9968566,184.188905,181.3701685,178.5107691,175.5834468,172.0792877,164.8285132,157.4535464,149.9542704,142.3382401,131.7144917,120.8765822,109.9730869,99.04739784,88.14169546,77.28424436,68.02904157,58.83399386,49.67484519,40.51463607,31.3071864,21.89658316,12.31348631,2.424691222,0,0
Striving,Aviation,WTT,ch4,Tg,0.823039053,0.904494332,1.09601943,1.274633351,1.424855276,1.577511168,1.553823203,1.530044256,1.505922276,1.481227296,1.451666103,1.390498349,1.328282905,1.265018784,1.200769721,1.111147456,1.019718523,0.927736305,0.83556686,0.743566023,0.651972235,0.573895063,0.496325361,0.419058504,0.341782702,0.264108376,0.184720241,0.103876945,0.020454769,0,0
Striving,Aviation,WTT,n2o,Tg,0.001431265,0.001572916,0.001905978,0.002216587,0.002477823,0.002743292,0.002702099,0.002660747,0.002618799,0.002575854,0.002524447,0.002418077,0.002309884,0.002199868,0.002088139,0.001932285,0.001773291,0.001613333,0.001453051,0.001293061,0.00113378,0.000998004,0.00086311,0.000728743,0.00059436,0.000459284,0.000321228,0.000180642,3.55708E-05,0,0
Striving,Aviation,WTT,bc,Tg,0.001839492,0.002021545,0.002449603,0.002848806,0.003184552,0.003525738,0.003472795,0.003419649,0.003365736,0.003310543,0.003244474,0.003107764,0.002968712,0.002827317,0.00268372,0.002483415,0.002279071,0.002073491,0.001867492,0.00166187,0,0,0,0,0,0,0,0,0,0,0
